[2026-07-07 19:52:14,292] [INFO] [__main__] Running normalize stage for AIAENG
[2026-07-07 19:52:14,292] [INFO] [__main__] [2026-07-07T19:52:14.292376] [START] [AIAENG] normalize stage
[2026-07-07 19:52:14,292] [INFO] [__main__] [Normalize] [AIAENG] processing
[2026-07-07 19:52:14,293] [INFO] [__main__] [2026-07-07T19:52:14.293611] [DONE] [AIAENG] normalize stage completed
[2026-07-07 19:52:14,293] [INFO] [__main__] Running discover stage for APLAPOLLO
[2026-07-07 19:52:14,293] [INFO] [__main__] [2026-07-07T19:52:14.293732] [START] [APLAPOLLO] discover stage
[2026-07-07 19:52:14,293] [INFO] [__main__] Discover stage for APLAPOLLO
[2026-07-07 19:52:14,293] [INFO] [__main__] [2026-07-07T19:52:14.293806] [DONE] [APLAPOLLO] discover stage completed
[2026-07-07 19:52:14,293] [INFO] [__main__] Running numeric stage for APLAPOLLO
[2026-07-07 19:52:14,293] [INFO] [__main__] [2026-07-07T19:52:14.293896] [START] [APLAPOLLO] numeric stage
[2026-07-07 19:52:14,293] [INFO] [__main__] [2026-07-07T19:52:14.293940] [SKIP] [APLAPOLLO] numeric stage (output exists)
[2026-07-07 19:52:14,293] [INFO] [__main__] Running document stage for APLAPOLLO
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.293999] [START] [APLAPOLLO] document stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294041] [SKIP] [APLAPOLLO] document stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running convert stage for APLAPOLLO
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294091] [START] [APLAPOLLO] convert stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [Convert] [APLAPOLLO] processing
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294151] [DONE] [APLAPOLLO] convert stage completed
[2026-07-07 19:52:14,294] [INFO] [__main__] Running clean stage for APLAPOLLO
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294202] [START] [APLAPOLLO] clean stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294239] [SKIP] [APLAPOLLO] clean stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running chunk stage for APLAPOLLO
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294288] [START] [APLAPOLLO] chunk stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294330] [SKIP] [APLAPOLLO] chunk stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running normalize stage for APLAPOLLO
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294377] [START] [APLAPOLLO] normalize stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [Normalize] [APLAPOLLO] processing
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294435] [DONE] [APLAPOLLO] normalize stage completed
[2026-07-07 19:52:14,294] [INFO] [__main__] Running discover stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294480] [START] [AUBANK] discover stage
[2026-07-07 19:52:14,294] [INFO] [__main__] Discover stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294533] [DONE] [AUBANK] discover stage completed
[2026-07-07 19:52:14,294] [INFO] [__main__] Running numeric stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294581] [START] [AUBANK] numeric stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294620] [SKIP] [AUBANK] numeric stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running document stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294667] [START] [AUBANK] document stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294708] [SKIP] [AUBANK] document stage (output exists)
[2026-07-07 19:52:14,294] [INFO] [__main__] Running convert stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294757] [START] [AUBANK] convert stage
[2026-07-07 19:52:14,294] [INFO] [__main__] [Convert] [AUBANK] processing
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294814] [DONE] [AUBANK] convert stage completed
[2026-07-07 19:52:14,294] [INFO] [__main__] Running clean stage for AUBANK
[2026-07-07 19:52:14,294] [INFO] [__main__] [2026-07-07T19:52:14.294863] [START] [AUBANK] clean stage
