Symbol,isin,bse_code,name,industry,market_cap_category,Index
GABRIEL,INE524A01029,505242,Gabriel India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
GALLANTT,INE297H01019,532726,Gallantt Ispat Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
GRSE,INE382Z01011,542011,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
GICRE,INE481Y01014,540755,General Insurance Corporation of India,Financial Services,mid_small_cap,nifty_midsmallcap400
GILLETTE,INE322A01010,507815,Gillette India Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
GLAND,INE068V01023,543245,Gland Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
GLAXO,INE159A01016,500660,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
GLENMARK,INE935A01035,532296,Glenmark Pharmaceuticals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
MEDANTA,INE474Q01031,543654,Global Health Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
GODIGIT,INE03JT01014,544179,Go Digit General Insurance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
GPIL,INE177H01039,532734,Godawari Power & Ispat Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
GODFRYPHLP,INE260B01028,500163,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
GODREJIND,INE233A01035,500164,Godrej Industries Ltd.,Diversified,mid_small_cap,nifty_midsmallcap400
GODREJPROP,INE484J01027,533150,Godrej Properties Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
GRANULES,INE101D01020,532482,Granules India Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
GRAPHITE,INE371A01025,509488,Graphite India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
GRAVITA,INE024L01027,533282,Gravita India Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
GESHIP,INE017A01032,500620,Great Eastern Shipping Co. Ltd.,Services,mid_small_cap,nifty_midsmallcap400
FLUOROCHEM,INE09N301011,542812,Gujarat Fluorochemicals Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
GMDCLTD,INE131A01031,532181,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
HEG,INE545A01024,509631,H.E.G. Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
HBLENGINE,INE292B01021,517271,HBL Engineering Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
HDBFS,INE756I01012,Unlisted,HDB Financial Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
HFCL,INE548A01028,500183,HFCL Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
HAVELLS,INE176B01034,517354,Havells India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
HEROMOTOCO,INE158A01026,500182,Hero MotoCorp Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
HEXT,INE093A01041,Unlisted,Hexaware Technologies Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
HSCL,INE019C01026,500184,Himadri Speciality Chemical Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
HINDCOPPER,INE531E01026,513599,Hindustan Copper Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
HINDPETRO,INE094A01015,500104,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
POWERINDIA,INE07Y701011,522273,Hitachi Energy India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
HOMEFIRST,INE481N01025,543259,Home First Finance Company India Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
HONASA,INE0J5401028,544014,Honasa Consumer Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
HONAUT,INE671A01010,517174,Honeywell Automation India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
HUDCO,INE031A01017,540530,Housing & Urban Development Corporation Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ICICIGI,INE765G01017,540716,ICICI Lombard General Insurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ICICIAMC,INE346A01027,Unlisted,ICICI Prudential Asset Management Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ICICIPRULI,INE726G01019,540133,ICICI Prudential Life Insurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IDBI,INE008A01015,500116,IDBI Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IDFCFIRSTB,INE092T01019,539437,IDFC First Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IFCI,INE039A01010,500106,IFCI Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IIFL,INE530B01024,532636,IIFL Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
IRB,INE821I01022,532947,IRB Infrastructure Developers Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
IRCON,INE962Y01021,541956,IRCON International Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
ITCHOTELS,INE379A01028,Unlisted,ITC Hotels Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
ITI,INE248A01017,523610,ITI Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
INDGN,INE065X01017,544172,Indegene Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
INDIACEM,INE383A01012,530005,India Cements Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
INDIAMART,INE933S01016,542726,Indiamart Intermesh Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
